8780-08-04T05:57:28.934478075,934478075,21448934478075,934478,21448934478,934,21448934,28,21448,57,357,5,5,5,5,0,1,4,7,4,217,2487517,1,31,8,105367,8780,8780,1
-3482-08-18T08:15:04.857964014,857964014,29704857964014,857964,29704857964,857,29704857,4,29704,15,495,8,8,8,8,0,4,4,6,18,230,-1991073,3,33,8,-41777,3483,-3482,0
-2093-11-23T18:17:07.670673315,670673315,65827670673315,670673,65827670673,670,65827670,7,65827,17,1097,6,6,18,18,1,6,2,5,23,327,-1483655,4,47,11,-25106,2094,-2093,0
2342-10-24T03:23:05.698411306,698411306,12185698411306,698411,12185698411,698,12185698,5,12185,23,203,3,3,3,3,0,6,3,3,24,297,136166,4,43,10,28113,2342,2342,1
-2637-04-25T19:21:23.304849888,304849888,69683304849888,304849,69683304849,304,69683304,23,69683,21,1161,7,7,19,19,1,1,4,3,25,115,-1682558,4,17,4,-31641,2638,-2637,0
-0348-06-01T08:06:50.728333530,728333530,29210728333530,728333,29210728333,728,29210728,50,29210,6,486,8,8,8,8,0,6,1,6,1,153,-846480,1,22,6,-4171,349,-348,0
5663-04-26T22:27:47.396753510,396753510,80867396753510,396753,80867396753,396,80867396,47,80867,27,1347,10,10,22,22,1,4,5,4,26,116,1348956,4,17,4,67959,5663,5663,1
3812-08-27T15:08:03.002237059,2237059,54483002237059,2237,54483002237,2,54483002,3,54483,8,908,3,3,15,15,1,4,6,2,27,240,673015,4,35,8,45751,3812,3812,1
6062-01-12T00:00:13.980526870,980526870,13980526870,980526,13980526,980,13980,13,13,0,0,0,12,0,24,0,4,5,5,12,12,1494584,2,2,1,72744,6062,6062,1
-5118-05-17T10:23:47.626942371,626942371,37427626942371,626942,37427626942,626,37427626,47,37427,23,623,10,10,10,10,0,7,3,4,17,137,-2588702,3,20,5,-61412,5119,-5118,0
5194-02-17T06:00:26.894408842,894408842,21626894408842,894408,21626894408,894,21626894,26,21626,0,360,6,6,6,6,0,4,3,6,17,48,1177589,3,7,2,62329,5194,5194,1
-6700-08-23T22:43:18.816443339,816443339,81798816443339,816443,81798816443,816,81798816,18,81798,43,1363,10,10,22,22,1,1,2,4,23,235,-3166418,4,34,8,-80393,6701,-6700,0
